shelter_name,shelter_address,date,total_attendance,capacity,program_type
Seaton House,"339 George St, Toronto, ON",2021-01-01,99,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-02,88,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-03,113,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-04,135,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-05,88,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-06,93,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-07,100,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-08,134,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-09,83,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-10,135,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-11,115,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-12,136,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-13,95,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-14,83,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-15,96,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-16,93,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-17,122,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-18,72,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-19,98,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-20,127,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-21,110,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-22,115,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-23,77,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-24,101,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-25,69,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-26,120,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-27,89,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-28,111,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-29,82,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-30,129,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-01-31,70,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-01,102,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-02,102,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-03,96,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-04,103,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-05,70,136,Homeless
Seaton House,"339 George St, Toronto, ON",2021-02-06,114,136,Homeless
