_id,location_name,address,year,year_stage,suspected_non_fatal_overdoses
1,45 The Esplanade,45 The Esplanade,2021,Q1,5
2,45 The Esplanade,45 The Esplanade,2021,Q2,14
3,45 The Esplanade,45 The Esplanade,2021,Q3,46
4,45 The Esplanade,45 The Esplanade,2021,Q4,33
5,45 The Esplanade,45 The Esplanade,2022,Q1,22
6,45 The Esplanade,45 The Esplanade,2022,Q2,14
7,45 The Esplanade,45 The Esplanade,2022,Q3,9
8,45 The Esplanade,45 The Esplanade,2022,Q4,8
9,Adelaide Resource Centre for Women,67 Adelaide St E,2022,Q1,< 5
10,Adelaide Resource Centre for Women,67 Adelaide St E,2022,Q2,< 5
11,Adelaide Resource Centre for Women,67 Adelaide St E,2022,Q3,0
12,Adelaide Resource Centre for Women,67 Adelaide St E,2022,Q4,0
13,Adelaide Resource Centre for Women,67 Adelaide St E,2023,Q1,NA
14,Adelaide Resource Centre for Women,67 Adelaide St E,2023,Q2,NA
15,Adelaide Resource Centre for Women,67 Adelaide St E,2023,Q3,NA
16,Adelaide Resource Centre for Women,67 Adelaide St E,2023,Q4,< 5
17,Christie Refugee Welcome Centre,43 Christie St,2021,Q1,0
18,Christie Refugee Welcome Centre,43 Christie St,2021,Q2,< 5
19,Christie Refugee Welcome Centre,43 Christie St,2021,Q3,0
20,Christie Refugee Welcome Centre,43 Christie St,2021,Q4,0
21,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2018,Q1,NA
22,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2018,Q2,< 5
23,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2018,Q3,NA
24,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2018,Q4,NA
25,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2020,Q1,NA
26,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2020,Q2,NA
27,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2020,Q3,NA
28,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2020,Q4,< 5
29,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2021,Q1,10
30,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2021,Q2,8
31,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2021,Q3,< 5
32,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2021,Q4,0
33,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2022,Q1,0
34,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2022,Q2,< 5
35,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2022,Q3,< 5
36,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2022,Q4,< 5
37,CONC Etobicoke Hotel Program,445 Rexdale Blvd,2024,Q3,< 5
38,CONC Men's Shelter Bloor St W,850 Bloor St W,2020,Q1,NA
39,CONC Men's Shelter Bloor St W,850 Bloor St W,2020,Q2,NA
40,CONC Men's Shelter Bloor St W,850 Bloor St W,2020,Q3,NA
41,CONC Men's Shelter Bloor St W,850 Bloor St W,2020,Q4,< 5
42,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2019,Q1,NA
43,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2019,Q2,< 5
44,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2019,Q3,NA
45,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2019,Q4,NA
46,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2020,Q1,< 5
47,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2020,Q2,NA
48,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2020,Q3,NA
49,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2020,Q4,< 5
50,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2021,Q1,< 5
51,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2021,Q2,< 5
52,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2021,Q3,0
53,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2021,Q4,0
54,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2023,Q1,< 5
55,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,2023,Q2,0
